,customerDevice,customerEmail,customerIPAddress,customerPhone,customerBillingAddress,fraudulent,orderAmount,orderId,orderShippingAddress,orderState,paymentMethodId,transactionAmount,transactionFailed,transactionId,paymentMethodIssuer,paymentMethodProvider,paymentMethodRegistrationFailure,paymentMethodType
0,yyeiaxpltf82440jnb3v,josephhoward@yahoo.com,8.129.104.40,400-108-5415,"5493 Jones Islands
Brownside, CA 51896",False,18,vjbdvd,"5493 Jones Islands
Brownside, CA 51896",pending,wt07xm68b,18,False,a9lcj51r,Citizens First Banks,JCB 16 digit,True,card
1,yyeiaxpltf82440jnb3v,josephhoward@yahoo.com,8.129.104.40,400-108-5415,"5493 Jones Islands
Brownside, CA 51896",False,26,yp6x27,"5493 Jones Islands
Brownside, CA 51896",fulfilled,wt07xm68b,26,False,y4wcv03i,Citizens First Banks,JCB 16 digit,True,card
2,r0jpm7xaeqqa3kr6mzum,evansjeffery@yahoo.com,219.173.211.202,1-788-091-7546,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",True,45,nlghpa,"898 Henry Ports
New Keithview, CA 95893-2497",fulfilled,41ug157xz,45,False,5mi94sfw,Bastion Banks,American Express,False,bitcoin
3,r0jpm7xaeqqa3kr6mzum,evansjeffery@yahoo.com,219.173.211.202,1-788-091-7546,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",True,23,uw0eeb,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",fulfilled,41ug157xz,23,False,br8ba1nu,Bastion Banks,American Express,False,bitcoin
4,r0jpm7xaeqqa3kr6mzum,evansjeffery@yahoo.com,219.173.211.202,1-788-091-7546,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",True,43,bn44oh,"5093 Bryan Forks
Joshuaton, FM 01565-9801",fulfilled,y3xp697jx,43,True,a33145ss,Solace Banks,VISA 16 digit,True,bitcoin
5,4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",False,33,yk34y2,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",failed,8pneoi03z,33,False,q3lyvbza,Bastion Banks,JCB 16 digit,False,card
6,4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",False,24,28v6b0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",fulfilled,8pneoi03z,24,True,3alf9irw,Bastion Banks,JCB 16 digit,False,card
7,4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",False,24,28v6b0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",fulfilled,8pneoi03z,24,False,69w9wymx,Bastion Banks,JCB 16 digit,False,card
8,4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",False,25,itnk8y,"22396 Victor Lights
Carsonstad, MO 93914",fulfilled,dluy3jka0,25,True,pegqc4ud,His Majesty Bank Corp.,Discover,False,card
9,4m7h5ipl1shyavt6vv2r,andersonwilliam@yahoo.com,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,024.420.0375,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",False,25,itnk8y,"22396 Victor Lights
Carsonstad, MO 93914",fulfilled,8pneoi03z,25,False,uo3slwh7,Bastion Banks,JCB 16 digit,False,card
